misc
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),著者(日本語),著者(英語),担当区分,概要(日本語),概要(英語),出版者・発行元(日本語),出版者・発行元(英語),出版年月,誌名(日本語),誌名(英語),巻,号,開始ページ,終了ページ,記述言語,査読の有無,招待の有無,掲載種別,国際・国内誌,国際共著,DOI,ISSN,eISSN,URL,URL2,主要な業績かどうか,公開の有無
insert,merge,null,10594442,実世界指向ゲームインタフェースによるインタラクション技術の基盤研究力強化,"Games &amp; entertainment technology (4): Basic research resource enhancement of interaction techniques by focusing to physical-oriented human interfaces for games","[白井 暁彦]","[Akihiko Shirai]",null,null,null,映像情報メディア学会,"Inst. of Image Information and Television Engineers",2009,"映像情報メディア学会誌 : 映像情報メディア = The journal of the Institute of Image Information and Television Engineers","Kyokai Joho Imeji Zasshi/Journal of the Institute of Image Information and Television Engineers",63,10,1394,1399,jpn,false,false,null,null,null,10.3169/itej.63.1394,1342-6907,null,http://ci.nii.ac.jp/naid/10025987217,null,false,disclosed
insert,merge,null,254559,科学コミュニケーターより,null,"[白井 暁彦]",null,null,null,null,null,null,2008-12-31,"日本バーチャルリアリティ学会誌 = Journal of the Virtual Reality Society of Japan",null,13,4,null,null,null,false,true,null,null,null,null,1342-6680,null,http://ci.nii.ac.jp/naid/10024785610,null,false,disclosed
insert,merge,null,27636980,ＧＰＵの先駆的利用の研究動向と将来像,"Research trend and future vision in the advanced application of GPU","[新庄 貞昭,高橋 誠史,木村 秀敬,白井 暁彦,宮田 一乗]","[SHINJO Sadaaki,TAKAHASHI Masafumi,KIMURA Hidetaka,SHIRAI Akihiko,MIYATA Kazunori]",null,"本解説では，グラフィックプロセッサ(GPU)を取り巻く環境やその利用法，開発環境の現状，およびGPUのコンピュータビジョンへの適用事例を紹介し，GPUコンピューティングの可能性を探る．GPUはプログラマブルシェーダの導入後，シェーダのバージョンアップにあわせてスペックの向上が行われてきた．またCPUと比較して制約は多いが，プログラミングを工夫することにより速度向上が可能である．GPUは幅広く利用されているが，特筆すべき適用事例としてコンピュータビジョン，物理シミュレーションがあり，汎用計算においては分散コンピューティングによるナノテクへの応用も報告されている．本解説では，GPUに加えて最近のCPUアーキテクチャの革新であるマルチコアプロセッサCPUについても触れるとともに，最新OSのひとつであるWindows Vistaでのグラフィックユーザインタフェースへの利用にも触れ，今後の応用の可能性を探る．","In this paper, we introduce background, application and current environment for software development of the graphic processor (GPU). In addition, we explore possibility of the GPU computing. After the programmable shader was introduced into the GPU, the specification of GPU has been improved with the version up of shader. Although GPU has more restriction than CPU, it is able to speed up by fully programming. GPU has wide application. Especially remarkable applications are seen in the Computer Vision and the physics simulation. And it is reported that GPU is applied in the nano-technology by the distributed computing. In addition to GPU, we touch some topics of multi-core processor technologies that are innovative architectures on the latest CPU, and some usages of graphic user interfaces in the &quot;Windows Vista&quot; which is the one of the latest OS. Finally, we explore possibility of the future applications.","The Society for Art and Science","The Society for Art and Science",2007,芸術科学会論文誌,"The Journal of the Society for Art and Science",6,3,167,178,jpn,false,false,null,null,null,10.3756/artsci.6.167,1347-2267,null,http://ci.nii.ac.jp/naid/130004508509,null,false,disclosed
insert,merge,null,29159280,Axi-Visionを用いた三次元モデリング,null,"[山田 英樹,白井 暁彦,河北 真宏,三ツ峰 秀樹,中嶋 正之]",null,null,null,null,null,null,2005-03-02,第67回全国大会講演論文集,null,2005,1,195,196,jpn,false,false,null,null,null,null,null,null,http://id.nii.ac.jp/1001/00171406/,null,false,disclosed
insert,merge,null,209121,"Laval Virtual","Laval Virtual","[白井 暁彦]",null,null,null,null,null,null,2004-09-25,"日本バーチャルリアリティ学会誌 = Journal of the Virtual Reality Society of Japan",null,9,3,170,171,jpn,false,false,null,null,null,null,1342-6680,null,http://ci.nii.ac.jp/naid/10013577000,null,false,disclosed
insert,merge,null,209122,インタラクション2004,null,"[白井 暁彦]",null,null,null,null,null,null,2004-06-25,"日本バーチャルリアリティ学会誌 = Journal of the Virtual Reality Society of Japan",null,9,2,104,105,null,false,false,null,null,null,null,1342-6680,null,http://ci.nii.ac.jp/naid/10013468136,null,false,disclosed
insert,merge,null,17023164,"Entertainment Systems","Entertainment Systems","[白井 暁彦]","[Shirai Akihiko]",null,"This paper describes a definition of entertainment systems that is represented by computer games. In Art and Science fields, entertainment systems often are sorted such media or technology arts with a confusion. In other cases, they are discussed under unclear interpretation. In this paper, it has referred to previous scientific studies of `human plays&#039; for Middle Ages to Present Days that explains and defines about `entertainment systems&#039; like current computer games such using computer for playing with latest examples.","This paper describes a definition of entertainment systems that is represented by computer games. In Art and Science fields, entertainment systems often are sorted such media or technology arts with a confusion. In other cases, they are discussed under unclear interpretation. In this paper, it has referred to previous scientific studies of `human plays&#039; for Middle Ages to Present Days that explains and defines about `entertainment systems&#039; like current computer games such using computer for playing with latest examples.",芸術科学会,"The Society for Art and Science",2004,芸術科学会論文誌,"The Journal of the Society for Art and Science",3,1,22,34,null,false,false,null,null,null,10.3756/artsci.3.22,1347-2267,null,http://ci.nii.ac.jp/naid/130004508450,null,false,disclosed
insert,merge,null,10594444,"タンジブル・プレイルーム : 「ペンギンホッケー」(<特集>エンタテインメントVR)","A Tangible Playroom ; ""Penguin Hockey""","[白井 暁彦,長谷川 晶一,小池 康晴,佐藤 誠]","[SHIRAI Akihiko,HASEGAWA Shoichi,KOIKE Yasuharu,SATO Makoto]",null,"We have suggested an entertainment application system for children named as &quot;Tangible Playroom&quot;. It has been designed as a basic system for future computer entertainment system. It uses a large floor screen, string based force display, &quot;SPIDAR&quot; and real-time physics simulator to realize our concepts, usual space, direct manipulation and emotional world. We have also developed a content software for Tangible Playroom named as &quot;Penguin Hockey&quot;. It is a simple hockey game playing with A.I. penguins and snowman pucks. It has been presented for children&#039;s event. As the result, about 400 children had played it. This paper reports its development and technical details and results of questionnaire from players.",null,日本バーチャルリアリティ学会,日本バ-チャルリアリティ学会,2002-12-31,日本バーチャルリアリティ学会論文誌,"Transactions of the Virtual Reality Society of Japan",7,4,435,443,jpn,false,false,null,null,null,10.18974/tvrsj.7.4_435,1344-011X,null,http://ci.nii.ac.jp/naid/110008746838,null,false,disclosed
insert,merge,null,209123,"映像現場訪問記 IAMAS",IAMAS,"[白井 暁彦,三浦 雄文]","[Shirai Akihiko,Miura Takefumi]",null,null,null,社団法人映像情報メディア学会,"The Institute of Image Information and Television Engineers",2002-05-01,"映像情報メディア学会誌 : 映像情報メディア","The journal of the Institute of Image Information and Television Engineers",56,5,790,792,null,false,false,null,null,null,null,1342-6907,null,http://ci.nii.ac.jp/naid/110003670949,null,false,disclosed
insert,merge,null,209124,タンジブル・プレイルーム「ペンギンホッケー」,null,[白井暁彦],null,null,null,null,null,null,2002,日本バーチャルリアリティ学会論文誌,null,7,4,435,443,null,false,false,null,null,null,10.18974/tvrsj.7.4_435,null,null,http://ci.nii.ac.jp/naid/10011637627,null,false,disclosed
insert,merge,null,209125,力覚ディスプレイを用いた子供向けVRゲームコンテンツ「ペンギンホッケー」,"Virtual Reality Game Contents for Kids using Froce Display:""Penguin Hockey""","[白井 暁彦,井上 雅晴,鄭 承珠,田上 信一郎,外山 篤,藤井 伸旭,平井 卓哉,松本 直樹,三浦 雄文,長谷川 晶一,佐藤 誠]","[SHIRAI Akihiko,INOUE Masaharu,JEONG Seungzoo,TAGAMI Shinichiro,TOYAMA Atsushi,FUJII Nobuaki,HIRAI Takuya,MATSUMOTO Naoki,MIURA Takefumi,HASEGAWA Shoichi,SATO Makoto]",null,null,null,日本バ-チャルリアリティ学会,日本バ-チャルリアリティ学会,2001-09-19,"日本バーチャルリアリティ学会大会論文集 = Proceedings of the Virtual Reality Society of Japan annual conference","Proceedings of the Virtual Reality Society of Japan,annual conference",6,null,161,164,null,false,false,null,null,null,null,1342-4564,null,http://ci.nii.ac.jp/naid/10009537939,null,false,disclosed
insert,merge,null,15670840,"足インターフェイスによる複合現実感アミューズメントシステム : ファンタスティックファントムスリッパ(<特集>複合現実感)","Mixed Reality Amusement System with Foot Interface : Fantastic Phantom Slipper","[白井 暁彦,佐藤 勝,草原 真知子,久米 祐一郎]","[Shirai Akihiko,Sato Masaru,Kusahara Machiko,Kume Yuichiro]",null,"A mixed reality amusement system employing foot interface, &quot;Fantastic Phantom Slipper&quot;, has been developed. The system includes slipper-like wearable devices, optical motion capture and a hemispherical floor screen with a video projector. Phantom sensation is elicited by vibrators in the soles of the slippers to transmit information from floor. Most important concept of this work is to experience cyber worlds through human actions and sensations intuitively. With this system, players can enjoy walking into, and feel cyber worlds with their own feel as they do in real worlds. In this paper, the concept of this work, system configuration, amusement content and players&#039; reactions are described.","A mixed reality amusement system employing foot interface, &quot;Fantastic Phantom Slipper&quot;, has been developed. The system includes slipper-like wearable devices, optical motion capture and a hemispherical floor screen with a video projector. Phantom sensation is elicited by vibrators in the soles of the slippers to transmit information from floor. Most important concept of this work is to experience cyber worlds through human actions and sensations intuitively. With this system, players can enjoy walking into, and feel cyber worlds with their own feel as they do in real worlds. In this paper, the concept of this work, system configuration, amusement content and players&#039; reactions are described.",日本バーチャルリアリティ学会,"The Virtual Reality Society of Japan",1999-12-31,日本バーチャルリアリティ学会論文誌,"Transactions of the Virtual Reality Society of Japan",4,4,691,697,jpn,false,false,null,null,null,10.18974/tvrsj.4.4_691,1344-011X,null,http://ci.nii.ac.jp/naid/110008746683,null,false,disclosed
insert,merge,null,209126,"足インターフェイスによる複合現実感アミューズメントシステム:ファンタスティックファントムスリッパ (「複合現実感」特集)",null,"[白井 暁彦,佐藤 勝,草原 真知子]",null,null,null,null,日本バ-チャルリアリティ学会,null,1999-12,日本バ-チャルリアリティ学会論文誌,null,4,4,691,697,null,false,false,null,null,null,10.18974/tvrsj.4.4_691,1344-011X,null,http://ci.nii.ac.jp/naid/40005199482,null,false,disclosed
insert,merge,null,209127,足インターフェイスによる複合現実感アミューズメントシステム:ファンタスティックファントムスリッパ,null,[白井暁彦],null,null,null,null,null,null,1999,日本バーチャルリアリティ学会論文誌,null,4,4,691,698,null,false,false,null,null,null,10.18974/tvrsj.4.4_691,null,null,http://ci.nii.ac.jp/naid/10009537941,null,false,disclosed
insert,merge,null,15670841,足裏への皮膚振動刺激による情報伝達(<特集>ハプティックインタフェース),"Information Transmission through Soles by Vibro-tactile Stimulation","[久米 祐一郎,白井 暁彦,津田 元久,畑田 豊彦]","[Kume Yuichiro,Shirai Akihiko,Tsuda Motoshisa,Hatada Toyohiko]",null,"If shoes or slipper-like interfaces were developed, we could walk in virtual environments by walking in the real world and physical, and psychological discomforts caused by wearing special devices would be minimized. In order to transmit information from the system, tactile sensations by multiple vibrators on the soles were studied. Fundamental characteristics, especially phantom sensation, of human sole tactile sensations by multiple vibro-tactile stimulators were psychophysically measured, and stimulation conditions eliciting phantom sensation were elucidated. It was found that the location, movement and rotation of objects are perceived through the sole, and this concept can be implemented in shoesoles.","If shoes or slipper-like interfaces were developed, we could walk in virtual environments by walking in the real world and physical, and psychological discomforts caused by wearing special devices would be minimized. In order to transmit information from the system, tactile sensations by multiple vibrators on the soles were studied. Fundamental characteristics, especially phantom sensation, of human sole tactile sensations by multiple vibro-tactile stimulators were psychophysically measured, and stimulation conditions eliciting phantom sensation were elucidated. It was found that the location, movement and rotation of objects are perceived through the sole, and this concept can be implemented in shoesoles.",日本バーチャルリアリティ学会,"The Virtual Reality Society of Japan",1998-10-30,日本バーチャルリアリティ学会論文誌,"Transactions of the Virtual Reality Society of Japan",3,3,83,88,jpn,false,false,null,null,null,10.18974/tvrsj.3.3_83,1344-011X,null,http://ci.nii.ac.jp/naid/110008746604,null,false,disclosed
insert,merge,null,209128,"足裏への皮膚振動刺激による情報伝達 (「ハプティックインタフェ-ス」特集)",null,"[久米 祐一郎,白井 暁彦,津田 元久]",null,null,null,null,日本バ-チャルリアリティ学会,null,1998-09,日本バ-チャルリアリティ学会論文誌,null,3,3,83,88,null,false,false,null,null,null,10.18974/tvrsj.3.3_83,1344-011X,null,http://ci.nii.ac.jp/naid/40005199403,null,false,disclosed
insert,merge,null,24479602,null,"SIGGRAPH98 - 25th International Conference on Computer Graphics and Interactive Techniques, Orlando, 1998.",null,null,null,null,null,null,null,1998,null,"Foot Interface: Fantastic Phantom Slipper.",null,null,null,null,null,false,false,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,209129,"11)皮膚感覚のファントムセンセーションを用いた3次元画像との対話システム(〔情報ディスプレイ研究会 ヒューマンインフォメーション研究会 マルチメディア情報処理研究会 ネットワーク映像メディア研究会 画像情報システム研究会〕合同)",null,"[白井 暁彦,久米 祐一郎,津田 元久,畑田 豊彦]",null,null,null,null,社団法人映像情報メディア学会,null,1997-06-20,"映像情報メディア学会誌 : 映像情報メディア",null,51,6,818,819,null,false,false,null,null,null,null,1342-6907,null,http://ci.nii.ac.jp/naid/110003706168,null,false,disclosed
insert,merge,null,209131,皮膚感覚のファントムセンセーションを用いた3次元画像との対話システム,"Haptic Phantom Sensation for Interacting with 3D Images","[白井 暁彦,久米 祐一郎,津田 元久,畑田 豊彦]","[SHIRAI Akihiko,KUME Yuichiro,Tsuda Motohisa,Hatada Toyohiko]",null,3次元ディスプレイによって生成された物体との対話において、視覚に加えて触覚や力覚情報の人間への提示が重要である。本研究では皮膚の2点に振動刺激を与えることによって生じるファントムセンセーションを用いて、把持時の疑似力覚の提示を試みた。小型の工具を把持する際に指・手掌部との接触握部に振動子を組み込むことにより、刺激素子の装用感が少ない状態で、皮膚に振動刺激を与えることが可能である。本報告では指・手掌部の振動刺激に対する皮膚感覚の受容特性、静的や動的ファントムセンセーションの生起条件等を明らかにした。また2つの振動子と、PSDを用いた光学式3次元位置検出法と組み合わせ、力学的なバランス感覚も提示できる3次元画像との仮想対話作業ツールを試作した。,"Tactile and/or force displays are becoming important to interact with virtual objects in 3D displays. In order to present pseudo forces representing the forces on operator&#039;s hand, we used haptic phantom sensations elicited by two vibrators. Two mechanical vibrators are built in the grip of a small tool, to which operator&#039;s fingers and hand contact naturally. In this papers, we report perceptual characteristics of haptic sensations elicited by the two vibrators, and static and dynamic characteristics of elicited phantom sensations. We also prototyped a virtual tool employing phantom sensatio...",社団法人電子情報通信学会,"The Institute of Electronics, Information and Communication Engineers",1997-02-03,"電子情報通信学会技術研究報告. IE, 画像工学","IEICE technical report. Image engineering",96,507,77,84,null,false,false,null,null,null,null,null,null,http://ci.nii.ac.jp/naid/110003194700,null,false,disclosed
insert,merge,null,209130,皮膚感覚のファントムセンセーションを用いた3次元画像との対話システム,"Haptic Phantom Sensation for Interacting with 3D Images","[白井 暁彦,久米 祐一郎,津田 元久,畑田 豊彦]","[SHIRAI Akihiko,KUME Yuichiro,TSUDA Motohisa,HATADA Toyohiko]",null,3次元ディスブレイによって生成された物体との対話において、視覚に加えて触覚や力覚情報の人間への提示が重要である。本研究では皮膚の2点に振動刺激を与えることによって生じるファントムセンセーションを用いて、把持時の疑似力覚の提示を試みた。小型の工具を把持する際に指・手掌部との接触握部に振動子を組み込むことにより、刺激素子の装用感が少ない状態で、皮膚に振動刺激を与えることが可能である。本報告では指・手掌部の振動刺激に対する皮膚感覚の受容特性、静的や動的ファントムセンセーションの生起条件等を明らかにした。また2つの振動子と、PSDを用いた光学式3次元位置検出法と組み合わせ、力学的なバランス感覚も提示できる3次元画像との仮想対話作業ツールを試作した。,"Tactile and/or force displays are becoming important to interact with virtual objects in 3D displays. In order to present pseudo forces representing the forces on operator&#039;s hand, we used haptic phantom sensations elicited by two vibrators. Two mechanical vibrators are built in the grip of a small tool, to which operator&#039;s fingers and hand contact naturally. In this papers, we report perceptual characteristics of haptic sensations elicited by the two vibrators, and static and dynamic characteristics of elicited phantom sensations. We also prototyped a virtual tool employing phantom sensatio...",社団法人映像情報メディア学会,"The Institute of Image Information and Television Engineers",1997-02-03,映像情報メディア学会技術報告,"ITE Technical Report",21,6,77,84,null,false,false,null,null,null,null,1342-6893,null,http://ci.nii.ac.jp/naid/110003690869,null,false,disclosed
insert,merge,null,24479606,皮膚感覚のファントムセンセーションを用いた３次元画像との対話システム,null,"[白井暁彦,久米祐一郎,津田元久,畑田豊彦]",null,null,null,null,null,null,1997,電子情報通信学会技術報告,null,96,119,68,75,null,false,false,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,24479605,足裏のファントムセンセーションとその応用,null,"[白井暁彦,久米祐一郎,津田元久,畑田豊彦]",null,null,null,null,null,null,1997,日本バーチャルリアルティ学会第２回大会論文集,null,2,null,76,77,null,false,false,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,24479604,２台の傾斜対向配置PSDカメラによる手の形状認識,null,"[後藤善裕,白井暁彦,久米祐一郎,津田元久,畑田豊彦]",null,null,null,null,null,null,1997,日本バーチャルリアルティ学会第２回大会論文集,null,2,null,80,81,null,false,false,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,209133,ファンタスティック・ファントム・スリッパ,null,[白井暁彦],null,null,null,null,null,null,1997,日本バーチャルリアリティ学会第2回大会,null,2,null,27,28,null,false,false,null,null,null,null,null,null,http://ci.nii.ac.jp/naid/10009676178,null,false,disclosed
insert,merge,null,209132,タイトル無し,null,[白井暁彦],null,null,null,null,null,null,1997,信学技報,null,null,null,96,119,null,false,false,null,null,null,null,null,null,http://ci.nii.ac.jp/naid/10011275531,null,false,disclosed
insert,merge,null,209134,5)光学的3次元位置検出法を用いたリアルタイム人間動作入力デバイス(ヒューマンインフォメーション研究会),null,"[白井 暁彦,久米 祐一郎,津田 元久,畑田 豊彦]",null,null,null,null,社団法人映像情報メディア学会,null,1996-06-20,テレビジョン学会誌,null,50,6,null,null,null,false,false,null,null,null,null,0386-6831,null,http://ci.nii.ac.jp/naid/110003673895,null,false,disclosed
insert,merge,null,209135,光学的3次元位置検出法を用いたリアルタイム人間動作入力デバイス,"Real-time Human Motion Input Device Using Optical 3D Position Sensing","[白井 暁彦,久米 祐一郎,津田 元久,畑田 豊彦]","[SHIRAI Akihiko,KUME Yuichiro,TSUDA Motohisa,HATADA Toyohiko]",null,"Real-time input devices of human body location and motion are important in virtual environments. In this paper, an optical 3D position detection system using a pair of optoelectronic semiconductor position sensing devices as real-time input device is mentioned. 3D positions of light emitting markers are derived by the principle of stereo photography, and an experimental system detecting multiple light emitting markers is implemented with simple electronics and a personal computer. Some potential applications suitable for this system in virtual environments are also proposed.","Real-time input devices of human body location and motion are important in virtual environments. In this paper, an optical 3D position detection system using a pair of optoelectronic semiconductor position sensing devices as real-time input device is mentioned. 3D positions of light emitting markers are derived by the principle of stereo photography, and an experimental system detecting multiple light emitting markers is implemented with simple electronics and a personal computer. Some potential applications suitable for this system in virtual environments are also proposed.",社団法人映像情報メディア学会,"The Institute of Image Information and Television Engineers",1996-02-13,テレビジョン学会技術報告,"ITEJ Technical Report",20,7,21,26,null,false,false,null,null,null,null,0386-4227,null,http://ci.nii.ac.jp/naid/110003680663,null,false,disclosed
insert,merge,null,209137,光学的3次元位置検出法を用いたリアルタイム人間動作入力デバイス,null,[白井暁彦],null,null,null,null,null,null,1996,"平成7年度重点領域研究, 研究成果報告書, 人工現実感の研究",null,null,null,209,214,null,false,false,null,null,null,null,null,null,http://ci.nii.ac.jp/naid/10000082093,null,false,disclosed
insert,merge,null,209136,タイトル無し,null,[白井暁彦],null,null,null,null,null,null,1996,"TV 学技報",null,null,null,96,26,null,false,false,null,null,null,null,null,null,http://ci.nii.ac.jp/naid/10011275527,null,false,disclosed
